Hedge 5: X: -1.286000, Y: 0.880000, Z: -1.140000, Angle: 0 at time T: 6884664
Hedge 5: X: -1.133000, Y: 0.959000, Z: -1.119000, Angle: 0 at time T: 6884827
Hedge 5: X: -0.882000, Y: 1.115000, Z: -0.949000, Angle: 0 at time T: 6884992
Hedge 5: X: -0.870000, Y: 1.208000, Z: -1.134000, Angle: 0 at time T: 6885166
Hedge 5: X: -0.733000, Y: 1.377000, Z: -1.099000, Angle: 0 at time T: 6885343
Hedge 5: X: -0.681000, Y: 1.541000, Z: -1.140000, Angle: 0 at time T: 6885517
Hedge 5: X: -0.589000, Y: 1.779000, Z: -1.084000, Angle: 0 at time T: 6885704
Hedge 5: X: -0.512000, Y: 1.995000, Z: -1.024000, Angle: 0 at time T: 6885885
Hedge 5: X: -0.435000, Y: 2.432000, Z: -1.018000, Angle: 0 at time T: 6886231
Hedge 5: X: -0.407000, Y: 2.670000, Z: -0.976000, Angle: 0 at time T: 6886406
Hedge 5: X: -0.272000, Y: 4.395000, Z: -1.146000, Angle: 0 at time T: 6887762
Hedge 5: X: -0.283000, Y: 4.598000, Z: -1.149000, Angle: 0 at time T: 6887935
Hedge 5: X: -0.276000, Y: 4.980000, Z: -1.135000, Angle: 0 at time T: 6888270
Hedge 5: X: -0.257000, Y: 5.175000, Z: -1.133000, Angle: 0 at time T: 6888445
Hedge 5: X: -0.233000, Y: 5.361000, Z: -1.142000, Angle: 0 at time T: 6888621
Hedge 5: X: -0.216000, Y: 5.534000, Z: -1.153000, Angle: 0 at time T: 6888794
Hedge 5: X: -0.219000, Y: 5.657000, Z: -1.151000, Angle: 0 at time T: 6888965
Hedge 5: X: -0.193000, Y: 5.734000, Z: -1.167000, Angle: 0 at time T: 6889123
Hedge 5: X: -0.205000, Y: 5.783000, Z: -1.150000, Angle: 0 at time T: 6889281
Hedge 5: X: -0.199000, Y: 5.800000, Z: -1.142000, Angle: 0 at time T: 6889439
Hedge 5: X: -0.193000, Y: 5.800000, Z: -1.135000, Angle: 0 at time T: 6889600
Hedge 5: X: -0.191000, Y: 5.801000, Z: -1.131000, Angle: 0 at time T: 6889770
Hedge 5: X: -0.191000, Y: 5.801000, Z: -1.133000, Angle: 0 at time T: 6889943
Hedge 5: X: -0.189000, Y: 5.801000, Z: -1.137000, Angle: 0 at time T: 6890111
Hedge 5: X: -0.182000, Y: 5.790000, Z: -1.138000, Angle: 0 at time T: 6890284
Hedge 5: X: -0.188000, Y: 5.791000, Z: -1.133000, Angle: 0 at time T: 6890455
Hedge 5: X: -0.189000, Y: 5.792000, Z: -1.130000, Angle: 0 at time T: 6890624
Hedge 5: X: -0.191000, Y: 5.790000, Z: -1.131000, Angle: 0 at time T: 6890794
Hedge 5: X: -0.186000, Y: 5.792000, Z: -1.132000, Angle: 0 at time T: 6890977
Hedge 5: X: -0.184000, Y: 5.793000, Z: -1.128000, Angle: 0 at time T: 6891150
Hedge 5: X: -0.197000, Y: 5.790000, Z: -1.135000, Angle: 0 at time T: 6891323
Hedge 5: X: -0.194000, Y: 5.790000, Z: -1.134000, Angle: 0 at time T: 6891496
Hedge 5: X: -0.195000, Y: 5.801000, Z: -1.145000, Angle: 0 at time T: 6891671
Hedge 5: X: -0.197000, Y: 5.821000, Z: -1.141000, Angle: 0 at time T: 6891846
