발생일시,관할해경서,발생해역,발생유형,발생원인,기상특보,사고선박수,구조인원,부상인원,사망인원,실종인원,위도,경도,선종1,톤수1,선종2,톤수2,선종3,톤수3
2010-05-22 07:58,태안,영해,기관고장,정비불량,양호,1,1,0,0,0,36|19|27,126|20|49,어선,3.64,,,,
2010-05-21 16:40,제주,항계내,기타,관리소홀,양호,1,0,0,0,0,33|26|00,126|17|00,어선,1.4,,,,
2010-05-21 12:00,태안,항계내,좌주,관리소홀,양호,1,2,0,0,0,36|59|90,126|41|70,예부선,724,,,,
2010-05-21 09:30,인천,협수로,표류,정비불량,양호,1,14,0,0,0,37|11|48,126|23|39,낚시어선,6.67,,,,
2010-05-21 07:42,포항,항계내,기관고장,정비불량,양호,1,2,0,0,0,36|01|74,129|23|03,어선,0.36,,,,
2010-05-20 18:30,울산,영해-EEZ,기관고장,재질불량,양호,1,7,0,0,0,35|28|00,130|12|00,어선,21,,,,
2010-05-20 14:00,통영,항계내,침수,운항부주의,양호,1,2,0,0,0,34|49|55,128|24|16,어선,0.5,,,,
2010-05-20 07:25,태안,영해,충돌,운항부주의,저시정,2,22,0,0,0,36|45|27,125|59|31,화물선,19817,어선,7.31,,
2010-05-20 02:45,통영,항계내,화재,관리소홀,양호,1,0,0,0,0,34|52|51,128|03|95,어선,1,,,,
2010-05-19 19:25,울산,영해-EEZ,충돌,운항부주의,양호,2,23,0,0,0,35|16|70,130|4|50,어선,43,화물선,4800,,
2010-05-19 19:15,포항,항계내,화재,관리소홀,양호,1,0,0,0,0,35|39|36,129|33|38,어선,89,,,,
2010-05-19 19:00,포항,영해-EEZ,타기고장,정비불량,양호,1,7,0,0,0,36|28|04,131|04|10,어선,20,,,,
2010-05-19 17:50,여수,영해,침수,운항부주의,양호,1,2,0,0,0,34|14|60,127|27|70,어선,4.76,,,,
2010-05-19 12:30,포항,항계내,좌초,기상악화,저시정,1,4,0,0,0,36|48|39,129|30|73,어선,89,,,,
2010-05-19 07:30,태안,영해,타기고장,운항부주의,양호,1,7,0,0,0,36|56|00,125|33|00,어선,69,,,,
2010-05-19 05:00,태안,영해,기관고장,정비불량,양호,1,4,0,0,0,36|20|75,126|10|24,어선,19,,,,
2010-05-18 19:10,울산,영해,기타,기타,양호,1,1,0,0,0,35|33|55,129|30|05,어선,1.86,,,,
2010-05-18 08:20,태안,영해,추진기장애,운항부주의,양호,1,7,0,0,0,36|58|00,125|33|00,어선,69,,,,
2010-05-17 13:38,제주,영해,화재,화기취급부주의,양호,1,5,0,0,5,33|25|00,124|45|00,어선,78,,,,
2010-05-17 13:30,태안,영해,침수,적재불량,양호,1,3,0,0,0,36|33|00,126|18|50,어선,1.2,,,,
2010-05-17 07:50,부산,항계내,기타,운항부주의,양호,2,27,0,0,0,35|07|20,129|03|40,유조선,479,기타,653,,
