Entity code,Entity name,Entity abbreviation,Entity theme,Entity coverage,Related entity codes,Status,Number of live instances,Number of archived instances,Number of cross-border instances,Date of last instance change,Current code (first in range),Current code (last in range),Reserved code (for CHD use),Entity owner,Date entity introduced on RGC,Entity start date
E17,Care Trusts,CT,Health,England,n/a,Archived,0,6,0,31/03/2013,E17000001,E17000006,E17999999,ODS,01/01/2009,01/01/2009
E18,Strategic Health Authorities,SHA,Health,England,"L00, M00",Archived,0,10,0,31/03/2013,E18000001,E18000010,E18999999,ODS,01/01/2009,01/01/2009
E19,Pan Strategic Health Authorities,PSHA,Health,England,n/a,Archived,0,3,0,31/03/2013,E19000001,E19000003,E19999999,ODS,01/01/2009,01/01/2009
E20,Cancer Registries,CANREG,Health,England,W12,Current,8,0,0,n/a,E20000001,E20000008,E20999999,PHE,01/01/2009,01/01/2009
E21,Cancer Networks,CANNET,Health,England,W13,Archived,0,30,0,31/03/2013,E21000001,E21000030,E21999999,ODS,01/01/2009,01/01/2009
E22,Community Safety Partnerships,CSP,Other,England,W14,Current,293,81,0,01/04/2016,E22000001,E22000374,E22999999,Home Office,01/01/2009,01/01/2009
E23,Police Force Areas,PFA,Other,England,"W15, S23, N23",Current,39,0,0,n/a,E23000001,E23000039,E23999999,Home Office,01/01/2009,01/01/2009
E24,Local Learning and Skills Council areas,LLSC,Other,England,n/a,Archived,0,47,0,31/03/2010,E24000001,E24000047,E24999999,ONS,01/01/2009,01/01/2009
E25,Primary Urban Areas,PUA,Other,England,n/a,Current,56,0,0,n/a,E25000001,E25000056,E25999999,MHCLG,01/01/2009,01/01/2009
E26,National Parks,NPARK,Other,England,"W18, S21",Current,10,2,0,01/08/2016,E26000001,E26000012,E26999999,Natural England,01/01/2009,01/01/2009
E27,New Deal for Communities,NDC,Other,England,n/a,Archived,0,39,0,31/03/2011,E27000001,E27000039,E27999999,MHCLG,01/01/2009,01/01/2009
E28,Registration Districts,REGD,Other,England,W20,Current,151,70,0,01/04/2019,E28000001,E28000221,E28999999,ONS,01/01/2009,01/01/2009
E29,Registration Sub-district,REGSD,Other,England,W21,Current,151,83,0,01/04/2019,E29000001,E29000233,E29999999,ONS,01/01/2009,01/01/2009
E30,Travel to Work Areas,TTWA,Other,England,"W22, S22, N12, K01",Current,149,206,6,31/07/2015,E30000004,E30000294,E30999999,ONS,01/01/2009,01/01/2009
E31,Fire and Rescue Authorities,FRA,Other,England,"W25, S38, N31",Current,45,10,0,01/08/2016,E31000001,E31000047,E31999999,MHCLG,01/01/2009,01/01/2009
E32,London Assembly Constituencies,LAC,Electoral,England,n/a,Current,14,0,0,n/a,E32000001,E32000014,E32999999,GLA,06/05/2009,04/05/2000
E33,Workplace Zones,WZ,Census,England,"W35, S34, N19",Current,"50,868",0,0,n/a,E33000001,E33050868,E33999999,ONS,31/01/2013,31/12/2011
E34,Built-up Areas,BUA,Census,England,"W37, K05",Current,"5,360",0,11,n/a,E34000001,E34005360,E34999999,ONS,27/06/2013,27/03/2011
E35,Built-up Area sub-divisions,BUASD,Census,England,"W38, K06",Current,"1,662",0,4,n/a,E35000001,E35001672,E35999999,ONS,27/06/2013,27/03/2011
E36,Census Merged Wards ,CMWD,Census,England,W39,Current,"7,678",0,0,n/a,E36000001,E36007678,E36999999,ONS,31/01/2013,31/12/2011
E37,Local Enterprise Partnerships,LEP,Other,England,n/a,Current,38,4,0,01/04/2017,E37000001,E37000042,E37999999,BEIS,31/07/2012,11/03/2012
E38,Clinical Commissioning Groups,CCG,Health,England,n/a,Current,191,554,0,01/04/2019,E38000001,E38000230,E38999999,ODS,01/04/2013,01/04/2013
E39,"NHS England (Region, Local Office)",NHSRLO,Health,England,n/a,Current,14,41,0,01/04/2019,E39000018,E39000048,E39999999,ODS,01/04/2013,01/04/2013
E40,NHS England Regions,NHSER,Health,England,n/a,Current,7,3,,01/04/2019,E40000003,E40000010,E40999999,ODS,01/04/2013,01/04/2013
E41,Census Merged Local Authority Districts,CMLAD,Census,England,W40,Current,324,0,0,n/a,E41000001,E41000324,E41999999,ONS,01/04/2013,31/12/2011
E42,Census Merged Counties,CMCTY,Census,England,n/a,Current,35,0,0,n/a,E42000056,E42000090,E42999999,ONS,01/04/2013,31/12/2011
E43,Non-Civil Parished Areas,NCP,Census,England,n/a,Current,215,57,0,01/04/2019,E43000001,E43000272,E43999999,ONS,01/11/2013,31/12/2011
E45,Public Health England Centres,PHEC,Health,England,n/a,Current,9,11,0,01/07/2015,E45000001,E45000020,E45999999,PHE,03/06/2014,01/04/2013
E46,Public Health England Regions,PHEREG,Health,England,n/a,Current,4,0,0,n/a,E46000001,E46000004,E46999999,PHE,03/06/2014,01/04/2013
E47,Combined Authorities,CAUTH,Administrative,England,n/a,Current,10,6,0,01/11/2018,E47000001,E47000011,E47999999,MHCLG,10/07/2015,15/04/2015
E48,Local Resilience Forums,LRF,Other,England,W41,Current,38,4,0,01/09/2017,E48000001,E48000038,E48999999,MHCLG,23/07/2015,01/08/2015
E49,Enterprise Zones,EZ,Other,England,n/a,Current,46,3,0,01/04/2018,E49000001,E49000047,E49999999,MHCLG,01/02/2016,13/01/2016
E50,Waste Authorities,WA,Other,England,n/a,Current,9,2,0,01/04/2017,E50000001,E50000009,E50999999,DEFRA,22/04/2016,01/04/2016
E51,Development Corporations,DC,Other,England,n/a,Current,4,1,0,01/08/2017,E51000001,E51000004,E51999999,MHCLG,22/04/2016,01/04/2016
E52,LEP - overlapping part,LEPOP,Other,England,n/a,Current,15,1,0,01/04/2017,E52000001,E52000016,E52999999,BEIS,22/04/2016,01/04/2016
E53,LEP - non overlapping part ,LEPNOP,Other,England,n/a,Current,18,3,0,01/04/2017,E53000001,E53000021,E53999999,BEIS,22/04/2016,01/04/2016
E54,Sustainability and Transformation Partnerships,STP,Health,England,n/a,Current,42,8,0,01/04/2018,E54000005,E54000049,E54999999,NHS,22/04/2016,01/04/2016
E55,Strategic Clinical Networks,SCN,Health,England,n/a,Current,12,2,0,03/04/2013,E55000001,E55000014,E55999999,ODS,01/09/2016,01/04/2013
E56,Cancer Alliances,CAL,Health,England,n/a,Current,20,6,0,01/07/2019,E56000003,E56000025,E56999999,NHS,23/11/2016,01/09/2016
E57,National Cancer Vanguards,NCV,Health,England,n/a,Archived,0,3,0,01/07/2019,E57000001,E57000003,E57999999,NHS,23/11/2016,01/09/2016
E58,County Electoral Divisions,CED,Electoral,England,n/a,Current,"1,724",30,0,03/05/2018,E58000001,E58001754,E58999999,BCE,23/10/2017,04/05/2017
E59,Integrated Care Systems,ICS,Health,England,n/a,Current,10,0,0,n/a,E59000001,E59000010,E59999999,NHS,15/05/2018,01/04/2018
E60,Local Planning Authorities,LPA,Administrative,England,"N13, S44, W43",Current,330,0,0,n/a,E60000001,E60000330,E60999999,ONS,01/07/2019,01/04/2019
E61,Greater London Authority,GLA,Administrative,England,n/a,Current,1,0,0,n/a,E61000001,E61000001,E61999999,ONS,01/07/2019,03/07/2000
W92,Country,CTRY,Administrative,Wales,"E92, S92, N92, L93, M83",Current,1,0,0,n/a,W92000004,W92000004,W92999999,ONS,01/01/2009,01/01/2009
W00,Output Areas,OA,Statistical Building Block,Wales,"E00, S00, N00",Current,"10,036",406,0,31/12/2011,W00000001,W00010265,W00999999,ONS,01/01/2009,01/01/2009
W01,"Super Output Areas, Lower Layer",LSOA,Statistical Building Block,Wales,"E01, S01",Current,"1,909",99,0,31/12/2011,W01000001,W01001958,W01999999,ONS,01/01/2009,01/01/2003
W02,"Super Output Areas, Middle Layer",MSOA,Statistical Building Block,Wales,"E02, S02",Current,410,20,0,31/12/2011,W02000001,W02000423,W02999999,ONS,01/01/2009,01/01/2003
W03,"Super Output Areas, Upper Layer",USOA,Statistical Building Block,Wales,n/a,Current,94,3,0,31/12/2011,W03000001,W03000097,W03999999,WG (Data Unit),01/01/2009,01/01/2003
W04,Communities,COM,Administrative,Wales,n/a,Current,877,161,0,01/04/2017,W04000001,W04001032,W04999999,WG (LGBC),01/01/2009,01/01/2009
W05,Electoral Wards,WD,Administrative/Electoral,Wales,"E05, S13, N08",Current,852,267,0,01/04/2017,W05000041,W05001038,W05999999,WG (LGBC),01/01/2009,01/01/2009
W06,Unitary Authorities,UA,Administrative,Wales,n/a,Current,22,2,0,01/01/2010,W06000001,W06000024,W06999999,WG (LGBC),01/01/2009,01/01/2009
W07,Westminster Parliamentary Constituencies,WPC,Electoral,Wales,"E14, S14, N06",Current,40,40,0,06/05/2010,W07000041,W07000080,W07999999,WG (BC),01/01/2009,01/01/2009
W08,European Electoral Regions,EER,Electoral,Wales,"E15, S15, N07",Current,1,0,0,n/a,W08000001,W08000001,W08999999,WG (BC),01/01/2009,01/01/2009
W09,National Assembly for Wales Constituencies,NAWC,Electoral,Wales,n/a,Current,40,7,0,01/01/2012,W09000001,W09000047,W09999999,WG (BC),01/01/2009,01/01/2009
W10,National Assembly for Wales Electoral Regions,NAWER,Electoral,Wales,n/a,Current,5,4,0,01/01/2012,W10000001,W10000009,W10999999,WG (BC),01/01/2009,01/01/2009
W11,Local Health Boards,LHB,Health,Wales,n/a,Current,7,24,0,01/04/2019,W11000023,W11000031,W11999999,WG (Health),01/01/2009,01/01/2009
W12,Cancer Registries,CANREG,Health,Wales,E20,Current,1,0,0,n/a,W12000001,W12000001,W12999999,ODS,01/01/2009,01/01/2009
W13,Cancer Networks,CANNET,Health,Wales,E21,Current,2,2,0,01/04/2011,W13000001,W13000004,W13999999,ODS,01/01/2009,01/01/2009
W14,Community Safety Partnerships,CSP,Other,Wales,E22,Current,21,3,0,16/01/2017,W14000001,W14000023,W14999999,Home Office,01/01/2009,01/01/2009
